gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Male,421,0.167910448,0.208955224,0.350746269,0.391791045
Female,421,0.188841202,0.244635193,0.373390558,0.429184549
Male,426,0.231316726,0.320284698,0.348754448,0.43772242
Female,426,0.30976431,0.437710438,0.444444444,0.572390572
Male,429,0.237654321,0.358024691,0.37345679,0.49382716
Female,429,0.32,0.425714286,0.468571429,0.574285714
Male,432,0.114678899,0.181957187,0.298165138,0.365443425
Female,432,0.157446809,0.223404255,0.346808511,0.412765957
Male,439,0.021582734,0.043165468,0.179856115,0.201438849
Female,439,0.02739726,0.082191781,0.205479452,0.260273973
Male,441,0.087234043,0.14893617,0.189361702,0.25106383
Female,441,0.076045627,0.125475285,0.235741445,0.285171103
Male,447,0.289772727,0.494318182,0.426136364,0.630681818
Female,447,0.27480916,0.458015267,0.419847328,0.603053435
Male,450,0.175572519,0.244274809,0.305343511,0.374045802
Female,450,0.225,0.3125,0.3,0.3875
Male,451,0,0,0.125,0.125
Female,451,0.25,0.25,0.25,0.25
Male,452,0.211267606,0.320422535,0.360915493,0.470070423
Female,452,0.212658228,0.311392405,0.364556962,0.463291139
Male,459,0.703125,0.75,0.78125,0.828125
Female,459,0.756521739,0.808695652,0.808695652,0.860869565
Male,461,0.128712871,0.207920792,0.227722772,0.306930693
Female,461,0.198198198,0.288288288,0.351351351,0.441441441
Male,463,0.107296137,0.17167382,0.214592275,0.278969957
Female,463,0.139072848,0.178807947,0.271523179,0.311258278
Male,466,0.256684492,0.347593583,0.427807487,0.518716578
Female,466,0.375722543,0.450867052,0.566473988,0.641618497
Male,468,0.217183771,0.348448687,0.362768496,0.494033413
Female,468,0.26121372,0.387862797,0.385224274,0.511873351
Male,472,0.08490566,0.20754717,0.183962264,0.306603774
Female,472,0.068027211,0.224489796,0.285714286,0.442176871
Male,475,0.5,0.611111111,0.611111111,0.722222222
Female,475,0.4,0.5,0.4,0.5
Male,478,0.006134969,0.073619632,0.159509202,0.226993865
Female,478,0.041237113,0.092783505,0.195876289,0.24742268
Male,483,0.225806452,0.35483871,0.35483871,0.483870968
Female,483,0.24137931,0.24137931,0.344827586,0.344827586
Male,485,0.01369863,0.02739726,0.191780822,0.205479452
Female,485,0,0.025,0.075,0.1
Male,486,0,0.018867925,0.132075472,0.150943396
Female,486,0,0,0.148148148,0.148148148
Male,487,0.12749004,0.203187251,0.470119522,0.545816733
Female,487,0.208672087,0.276422764,0.479674797,0.547425474
Male,493,0.058823529,0.147058824,0.264705882,0.352941176
Female,493,0.088888889,0.133333333,0.088888889,0.133333333
