year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
2020,0,0,0,0,0,1,US,NA,4,>2000,304,304,Africa,Africa,North America,0.4,1.16,10,ZA,ZA,1,4,2,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2011,1,0,0,0,0,1,MZ,NA,1,>2000,NA,1281,Europe,Europe,Africa,0,0,8,PT,PT,4,7,11,1,0,0.090909091,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2014,0,0,0,0,0,1,CN,1662,4,1500-2000,1691,219,Asia,Asia,Asia,0.888888889,5.377777778,9,CN,CN,6,6,8,15,146.7,1.875,18.3375,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2017,1,1,1,1,1,0,EG,611,4,500-1000,611,611,Africa,Africa,Africa,NA,NA,0,EG,EG,7,4,5,13,32.7,2.6,6.54,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2009,1,0,0,0,0,1,GH,688,3,500-1000,907,461,Africa,North America,Africa,0,0,14,GH,US,3,3,13,8,3.5,0.615384615,0.269230769,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2016,0,0,0,0,0,1,PK,770,6,500-1000,NA,202,Asia,Europe,Asia,0,0,8,PK,PT,6,8,6,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,0,0,0,0,0,1,AU,28,5,0-500,102,112,Asia,Oceania,Oceania,0,0,9,CN,AU,5,7,3,19,212.5,6.333333333,70.83333333,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1989,0,0,0,0,0,1,US,16,7,0-500,2001,16,North America,North America,North America,0,0,16,US,US,6,7,33,56,546.3,1.696969697,16.55454545,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2006,1,0,0,0,0,1,US,NA,6,>2000,324,1163,North America,North America,North America,0,0,32,US,US,1,4,16,0,0,0,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2011,0,0,0,0,0,1,NG,NA,4,>2000,2001,2001,Africa,Africa,Africa,0,0,7,NG,NG,4,4,11,13,24.5,1.181818182,2.227272727,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1982,0,0,0,0,0,1,GB,277,4,0-500,495,62,Oceania,Oceania,Europe,0,0,10,NZ,AU,4,4,40,2,9.8,0.05,0.245,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2006,0,0,0,0,0,1,PT,NA,6,>2000,525,525,Europe,Europe,Europe,0.153846154,0,13,PT,PT,8,6,16,27,57.9,1.6875,3.61875,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1999,1,0,0,0,0,1,DE,1190,7,1000-1500,199,199,Europe,Europe,Europe,3,0.273333333,15,DE,DE,8,8,23,91,38.2,3.956521739,1.660869565,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2015,1,0,0,0,0,1,US,160,4,0-500,NA,684,Asia,North America,North America,0.083333333,0,12,IN,US,4,4,7,1,0,0.142857143,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2005,1,0,0,0,0,1,GB,2001,3,>2000,152,409,Europe,Europe,Europe,0.222222222,0.955555556,9,GB,GB,7,3,17,27,16.1,1.588235294,0.947058824,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2012,0,0,0,0,0,1,CM,NA,4,>2000,2001,992,Africa,Africa,Africa,0,0,16,CM,CM,4,4,10,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2006,0,0,0,0,0,1,US,1,4,0-500,21,16,North America,North America,North America,0,0,9,US,US,4,4,16,6,173.2,0.375,10.825,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2019,1,0,0,0,0,1,IN,NA,4,>2000,NA,466,Asia,Oceania,Asia,0,0,9,IN,NZ,8,4,3,7,58.9,2.333333333,19.63333333,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
